,kohde,jasen,pvknro,sp,ASALUE,IKAL1,A1,A2,A3,A4,A5,IKAL1_group
98,50253,2,1,2,2.0,51,570,350,40,80,1.0,6
99,50253,2,2,2,2.0,51,0,450,62,144,1.0,6
100,50254,1,1,1,1.0,53,0,480,110,0,1.0,6
101,50254,1,2,1,1.0,53,0,450,72,108,1.0,6
102,50258,2,1,1,1.0,62,0,540,0,0,2.0,7
103,50258,2,2,1,1.0,62,0,470,31,96,2.0,7
104,50266,1,1,1,1.0,32,0,700,0,90,1.0,4
105,50266,1,2,1,1.0,32,560,450,0,72,1.0,4
106,50267,1,1,1,2.0,74,0,390,0,0,1.0,8
107,50267,1,2,1,2.0,74,0,270,0,0,1.0,8
108,50287,1,1,1,3.0,69,0,445,70,100,2.0,8
109,50287,1,2,1,3.0,69,0,485,0,0,2.0,8
110,50291,1,1,2,3.0,60,0,485,70,60,1.0,7
111,50291,1,2,2,3.0,60,0,465,52,132,1.0,7
112,50306,1,1,2,1.0,38,400,450,50,0,1.0,5
113,50306,1,2,2,1.0,38,0,560,52,0,1.0,5
114,50310,1,1,1,1.0,50,0,480,50,0,2.0,6
115,50310,1,2,1,1.0,50,450,450,21,0,2.0,6
116,50311,1,1,2,3.0,67,0,655,30,0,1.0,8
117,50311,1,2,2,3.0,67,0,535,113,96,1.0,8
118,50312,2,1,1,3.0,64,0,485,100,80,1.0,7
119,50312,2,2,1,3.0,64,0,555,93,0,1.0,7
120,50315,1,1,2,1.0,47,0,520,50,0,2.0,6
121,50315,1,2,2,1.0,47,510,400,31,120,2.0,6
122,50316,1,1,2,3.0,28,0,655,0,0,1.0,4
123,50316,1,2,2,3.0,28,0,685,31,0,1.0,4
124,50319,1,1,2,3.0,54,0,535,70,0,2.0,6
125,50319,1,2,2,3.0,54,320,515,41,0,2.0,6
126,50327,2,1,1,2.0,44,70,630,0,100,1.0,5
127,50327,2,2,1,2.0,44,0,590,0,0,1.0,5
128,50330,2,1,1,2.0,57,0,480,40,0,1.0,7
129,50330,2,2,1,2.0,57,0,420,31,120,1.0,7
130,50342,2,1,2,1.0,73,0,440,70,0,1.0,8
131,50342,2,2,2,1.0,73,150,490,62,0,1.0,8
132,50347,2,1,1,3.0,47,0,855,0,80,1.0,6
133,50347,2,2,1,3.0,47,0,725,0,168,1.0,6
135,50355,1,1,1,1.0,74,0,660,140,110,2.0,8
136,50355,1,2,1,1.0,74,0,550,196,0,2.0,8
137,50356,1,1,1,1.0,52,0,290,30,0,1.0,6
138,50356,1,2,1,1.0,52,0,670,21,0,1.0,6
139,50358,1,1,1,3.0,46,0,875,60,0,2.0,6
140,50358,1,2,1,3.0,46,500,515,175,0,2.0,6
141,50363,2,1,2,1.0,30,0,440,40,0,1.0,4
142,50363,2,2,2,1.0,30,0,580,10,0,1.0,4
143,50366,1,1,2,2.0,47,0,490,60,90,1.0,6
144,50366,1,2,2,2.0,47,0,510,0,132,1.0,6
145,50377,1,1,1,3.0,28,0,665,10,0,1.0,4
146,50377,1,2,1,3.0,28,0,595,0,0,1.0,4
147,50378,1,1,2,1.0,52,540,480,0,0,1.0,6
148,50378,1,2,2,1.0,52,590,500,0,0,1.0,6
151,50383,1,1,1,3.0,30,370,345,40,70,1.0,4
152,50383,1,2,1,3.0,30,0,705,0,144,1.0,4
153,50385,2,1,2,3.0,73,0,435,30,0,2.0,8
154,50385,2,2,2,3.0,73,0,565,93,108,2.0,8
155,50387,1,1,1,3.0,76,0,665,80,120,2.0,9
156,50387,1,2,1,3.0,76,0,645,196,120,2.0,9
157,50390,1,1,1,2.0,45,380,460,20,0,1.0,6
158,50390,1,2,1,2.0,45,0,610,0,120,1.0,6
159,50394,1,1,1,1.0,68,0,550,150,110,2.0,8
160,50394,1,2,1,1.0,68,0,510,52,0,2.0,8
161,50419,1,1,2,1.0,68,0,720,100,0,1.0,8
162,50419,1,2,2,1.0,68,0,620,93,144,1.0,8
163,50425,1,1,2,2.0,57,300,480,20,100,1.0,7
164,50425,1,2,2,2.0,57,0,600,0,96,1.0,7
165,50427,1,1,2,1.0,35,0,380,0,0,1.0,5
166,50427,1,2,2,1.0,35,150,470,0,0,1.0,5
167,50429,2,1,2,3.0,41,0,455,0,0,1.0,5
168,50429,2,2,2,3.0,41,0,665,0,0,1.0,5
169,50435,1,1,1,1.0,62,0,500,220,0,1.0,7
170,50435,1,2,1,1.0,62,0,580,134,0,1.0,7
171,50437,1,1,2,1.0,25,480,540,0,80,1.0,4
172,50437,1,2,2,1.0,25,0,670,0,96,1.0,4
176,50466,1,1,2,2.0,50,0,560,170,110,1.0,6
177,50466,1,2,2,2.0,50,0,610,31,120,1.0,6
