,kohde,jasen,pvknro,sp,ASALUE,IKAL1,A1,A2,A3,A4,A5,IKAL1_group
518,51424,1,2,1,1.0,61,510,390,21,144,1.0,7
519,51425,2,1,2,3.0,53,370,585,20,80,1.0,6
520,51425,2,2,2,3.0,53,200,555,21,0,1.0,6
521,51431,1,1,2,1.0,54,520,490,0,100,1.0,6
522,51431,1,2,2,1.0,54,0,420,0,0,1.0,6
523,51437,1,1,2,1.0,46,0,900,0,0,1.0,6
524,51437,1,2,2,1.0,46,460,530,21,0,1.0,6
529,51457,1,1,2,1.0,69,0,510,100,0,1.0,8
530,51457,1,2,2,1.0,69,0,580,103,0,1.0,8
531,51462,1,1,2,2.0,49,400,620,0,0,2.0,6
532,51462,1,2,2,2.0,49,540,520,0,108,2.0,6
533,51463,2,1,2,1.0,41,0,510,60,80,1.0,5
534,51463,2,2,2,1.0,41,0,490,21,0,1.0,5
539,51471,1,1,2,1.0,32,390,450,0,0,1.0,4
540,51471,1,2,2,1.0,32,0,610,0,120,1.0,4
541,51484,1,1,2,1.0,31,390,500,0,0,1.0,4
542,51484,1,2,2,1.0,31,0,360,0,168,1.0,4
545,51494,2,1,2,1.0,44,0,640,0,100,2.0,5
546,51494,2,2,2,1.0,44,450,270,10,108,2.0,5
549,51502,2,1,2,1.0,53,0,570,90,0,2.0,6
550,51502,2,2,2,1.0,53,0,510,93,0,2.0,6
551,51507,1,1,1,1.0,37,0,580,30,0,1.0,5
552,51507,1,2,1,1.0,37,0,430,31,156,1.0,5
553,51508,1,1,2,3.0,61,290,495,60,0,2.0,7
554,51508,1,2,2,3.0,61,0,555,62,0,2.0,7
555,51519,1,1,1,1.0,44,360,570,0,0,1.0,5
556,51519,1,2,1,1.0,44,0,510,103,96,1.0,5
557,51524,1,1,1,1.0,47,0,590,130,0,1.0,6
558,51524,1,2,1,1.0,47,0,560,41,0,1.0,6
559,51539,2,1,1,3.0,37,490,365,20,0,1.0,5
560,51539,2,2,1,3.0,37,0,645,0,180,1.0,5
561,51549,1,1,2,1.0,73,0,540,120,120,1.0,8
562,51549,1,2,2,1.0,73,0,490,41,144,1.0,8
563,51551,2,1,2,3.0,21,0,615,80,90,1.0,3
564,51551,2,2,2,3.0,21,0,525,72,0,1.0,3
565,51553,2,1,2,1.0,43,10,700,90,80,1.0,5
566,51553,2,2,2,1.0,43,0,570,0,84,1.0,5
567,51557,1,1,1,3.0,49,490,495,40,0,1.0,6
568,51557,1,2,1,3.0,49,40,605,62,0,1.0,6
569,51566,1,1,1,2.0,47,0,540,0,0,1.0,6
570,51566,1,2,1,2.0,47,490,430,0,0,1.0,6
571,51578,1,1,1,2.0,48,480,470,50,0,1.0,6
572,51578,1,2,1,2.0,48,0,560,52,108,1.0,6
573,51581,1,1,2,1.0,80,0,490,40,0,1.0,9
574,51581,1,2,2,1.0,80,0,480,93,0,1.0,9
575,51586,1,1,2,3.0,30,450,505,0,90,2.0,4
576,51586,1,2,2,3.0,30,0,715,0,0,2.0,4
577,51590,1,1,2,1.0,29,30,650,30,0,2.0,4
578,51590,1,2,2,1.0,29,0,600,0,0,2.0,4
579,51592,1,1,1,1.0,29,0,660,0,0,1.0,4
580,51592,1,2,1,1.0,29,0,710,0,96,1.0,4
581,51599,1,1,1,3.0,61,490,485,40,120,1.0,7
582,51599,1,2,1,3.0,61,0,585,52,0,1.0,7
583,51601,1,1,2,1.0,54,30,530,10,110,1.0,6
584,51601,1,2,2,1.0,54,510,510,0,0,1.0,6
585,51605,1,1,2,1.0,53,0,530,0,60,1.0,6
586,51605,1,2,2,1.0,53,0,490,0,0,1.0,6
587,51607,1,1,1,1.0,78,0,650,0,140,2.0,9
588,51607,1,2,1,1.0,78,0,570,52,0,2.0,9
589,51610,1,1,1,1.0,36,0,510,0,0,2.0,5
590,51610,1,2,1,1.0,36,0,550,0,0,2.0,5
593,51617,1,1,2,3.0,63,0,595,40,0,1.0,7
594,51617,1,2,2,3.0,63,0,525,31,0,1.0,7
595,51619,1,1,1,1.0,72,0,510,0,0,2.0,8
596,51619,1,2,1,1.0,72,0,520,0,0,2.0,8
598,51627,1,1,2,3.0,62,0,515,90,0,1.0,7
599,51627,1,2,2,3.0,62,0,615,103,0,1.0,7
600,51638,1,1,2,3.0,65,0,595,0,0,2.0,8
601,51638,1,2,2,3.0,65,0,485,0,144,2.0,8
602,51639,1,1,1,1.0,39,0,590,0,0,1.0,5
603,51639,1,2,1,1.0,39,520,470,41,108,1.0,5
604,51644,1,1,2,3.0,55,0,665,30,90,2.0,7
605,51644,1,2,2,3.0,55,0,565,0,0,2.0,7
606,51645,2,1,2,1.0,25,0,470,20,160,1.0,4
607,51645,2,2,2,1.0,25,0,510,62,0,1.0,4
608,51646,2,1,2,3.0,25,0,525,0,100,1.0,4
609,51646,2,2,2,3.0,25,520,525,0,0,1.0,4
610,51663,1,1,1,1.0,64,0,530,30,120,2.0,7
611,51663,1,2,1,1.0,64,0,570,21,144,2.0,7
614,51670,2,1,2,2.0,40,0,510,0,140,1.0,5
615,51670,2,2,2,2.0,40,470,470,72,108,1.0,5
616,51673,2,1,1,2.0,38,450,390,10,0,2.0,5
617,51673,2,2,1,2.0,38,360,510,0,0,2.0,5
618,51674,1,1,1,1.0,28,520,500,20,70,1.0,4
619,51674,1,2,1,1.0,28,540,400,0,0,1.0,4
620,51675,1,1,1,1.0,54,0,470,50,0,1.0,6
621,51675,1,2,1,1.0,54,720,470,10,108,1.0,6
622,51685,2,1,2,1.0,34,480,590,10,0,1.0,4
623,51685,2,2,2,1.0,34,440,480,0,0,1.0,4
625,51697,1,1,2,1.0,21,0,750,10,120,1.0,3
626,51697,1,2,2,1.0,21,450,490,0,84,1.0,3
627,51699,2,1,1,1.0,39,750,350,10,0,1.0,5
628,51699,2,2,1,1.0,39,0,420,52,0,1.0,5
629,51702,2,1,2,1.0,55,0,480,50,110,1.0,7
630,51702,2,2,2,1.0,55,0,430,154,0,1.0,7
633,51717,2,1,1,3.0,48,600,505,0,0,1.0,6
634,51717,2,2,1,3.0,48,200,485,0,0,1.0,6
637,51729,1,1,1,3.0,52,600,435,90,0,1.0,6
638,51729,1,2,1,3.0,52,400,425,175,108,1.0,6
639,51732,1,1,1,1.0,66,0,640,30,0,2.0,8
640,51732,1,2,1,1.0,66,0,590,93,0,2.0,8
643,51737,2,1,2,3.0,31,470,475,50,0,1.0,4
644,51737,2,2,2,3.0,31,0,715,21,0,1.0,4
645,51740,1,1,2,1.0,36,0,560,20,150,2.0,5
646,51740,1,2,2,1.0,36,0,580,21,180,2.0,5
647,51741,1,1,2,1.0,57,0,530,170,80,1.0,7
648,51741,1,2,2,1.0,57,0,610,62,84,1.0,7
649,51742,2,1,1,1.0,48,0,670,0,0,1.0,6
650,51742,2,2,1,1.0,48,540,440,0,96,1.0,6
651,51746,1,1,1,1.0,52,0,410,150,140,1.0,6
652,51746,1,2,1,1.0,52,0,560,113,132,1.0,6
653,51750,1,1,1,1.0,82,0,550,0,0,1.0,9
654,51750,1,2,1,1.0,82,60,460,412,0,1.0,9
655,51751,2,1,2,1.0,57,0,480,50,100,1.0,7
656,51751,2,2,2,1.0,57,0,520,21,132,1.0,7
657,51754,1,1,2,1.0,41,0,680,0,130,1.0,5
658,51754,1,2,2,1.0,41,450,400,41,132,1.0,5
659,51771,1,1,2,1.0,55,0,560,0,0,1.0,7
660,51771,1,2,2,1.0,55,0,510,124,0,1.0,7
661,51785,1,1,1,1.0,57,0,480,0,130,2.0,7
662,51785,1,2,1,1.0,57,0,540,62,108,2.0,7
663,51788,1,1,2,1.0,42,0,530,0,0,2.0,5
664,51788,1,2,2,1.0,42,490,470,0,108,2.0,5
665,51790,2,1,1,1.0,26,650,470,0,0,1.0,4
666,51790,2,2,1,1.0,26,0,680,0,108,1.0,4
667,51803,1,1,2,1.0,39,0,560,170,0,1.0,5
668,51803,1,2,2,1.0,39,0,560,103,132,1.0,5
669,51804,2,1,1,1.0,64,480,500,20,0,1.0,7
670,51804,2,2,1,1.0,64,0,480,0,216,1.0,7
675,51819,2,1,2,1.0,73,0,570,70,0,2.0,8
676,51819,2,2,2,1.0,73,0,520,41,0,2.0,8
677,51822,2,1,2,2.0,82,0,570,80,120,1.0,9
678,51822,2,2,2,2.0,82,0,550,93,0,1.0,9
679,51824,1,1,2,2.0,64,580,430,10,0,1.0,7
680,51824,1,2,2,2.0,64,0,540,82,0,1.0,7
681,51831,2,1,2,1.0,28,430,560,10,90,1.0,4
682,51831,2,2,2,1.0,28,0,610,10,0,1.0,4
683,51832,1,1,2,2.0,48,620,380,0,100,2.0,6
684,51832,1,2,2,2.0,48,300,520,0,84,2.0,6
685,51846,1,1,1,1.0,44,0,460,0,110,1.0,5
686,51846,1,2,1,1.0,44,0,560,72,0,1.0,5
687,51847,1,1,1,1.0,41,390,450,10,100,1.0,5
688,51847,1,2,1,1.0,41,150,540,0,96,1.0,5
689,51848,1,1,2,1.0,51,0,630,70,0,2.0,6
690,51848,1,2,2,1.0,51,0,520,41,0,2.0,6
691,51851,2,1,1,1.0,28,0,660,0,90,1.0,4
692,51851,2,2,1,1.0,28,450,470,0,120,1.0,4
693,51854,1,1,1,1.0,31,0,840,10,120,1.0,4
694,51854,1,2,1,1.0,31,480,410,0,0,1.0,4
695,51855,1,1,2,1.0,40,0,670,30,0,1.0,5
696,51855,1,2,2,1.0,40,430,540,72,108,1.0,5
699,51871,2,1,2,2.0,28,0,540,0,90,1.0,4
700,51871,2,2,2,2.0,28,0,550,0,0,1.0,4
701,51875,1,1,2,3.0,73,140,505,10,90,2.0,8
702,51875,1,2,2,3.0,73,180,485,113,0,2.0,8
703,51895,1,1,1,1.0,47,110,490,0,110,2.0,6
704,51895,1,2,1,1.0,47,470,550,0,132,2.0,6
709,51905,1,1,2,3.0,38,0,505,0,0,1.0,5
710,51905,1,2,2,3.0,38,450,435,72,0,1.0,5
711,51914,2,1,2,1.0,52,40,590,60,110,1.0,6
712,51914,2,2,2,1.0,52,620,150,0,204,1.0,6
713,51917,1,1,2,1.0,63,0,440,100,90,1.0,7
714,51917,1,2,2,1.0,63,0,400,258,156,1.0,7
715,51925,2,1,1,1.0,43,600,330,10,0,1.0,5
716,51925,2,2,1,1.0,43,0,510,0,0,1.0,5
717,51926,1,1,1,3.0,59,0,615,30,0,1.0,7
718,51926,1,2,1,3.0,59,0,595,113,0,1.0,7
719,51930,1,1,1,2.0,79,0,520,0,0,2.0,9
720,51930,1,2,1,2.0,79,0,590,0,0,2.0,9
721,51934,1,1,1,3.0,65,0,615,70,0,2.0,8
722,51934,1,2,1,3.0,65,0,595,52,0,2.0,8
723,51944,1,1,1,1.0,40,340,480,150,0,2.0,5
724,51944,1,2,1,1.0,40,110,480,216,108,1.0,5
725,51946,2,1,1,3.0,33,390,115,20,0,2.0,4
726,51946,2,2,1,3.0,33,620,535,31,0,2.0,4
727,51948,2,1,2,2.0,73,0,520,100,0,1.0,8
728,51948,2,2,2,2.0,73,0,480,21,0,1.0,8
729,51959,1,1,1,2.0,79,0,600,150,0,1.0,9
730,51959,1,2,1,2.0,79,0,610,93,144,1.0,9
733,51967,1,1,1,3.0,55,420,455,50,0,2.0,7
734,51967,1,2,1,3.0,55,0,435,0,0,2.0,7
735,51971,1,1,2,3.0,54,0,495,80,130,1.0,6
736,51971,1,2,2,3.0,54,680,445,113,0,1.0,6
737,51973,1,1,1,2.0,41,0,600,0,0,1.0,5
738,51973,1,2,1,2.0,41,0,620,0,108,1.0,5
739,51980,1,1,2,2.0,50,0,570,0,0,2.0,6
740,51980,1,2,2,2.0,50,460,450,31,0,2.0,6
743,51983,1,1,2,3.0,66,560,375,20,0,1.0,8
744,51983,1,2,2,3.0,66,0,435,31,0,1.0,8
